281181.txt,5704,136,343,251,142,118,77,211,871,41.9412,40.1690,22.7251,1.8456,2.4155,1.7676,0.4701,0.8310,1.0441,0.5423,1.4859,0.8406,6.1338,3.4701,OXFORD INDUSTRIES INC ,75288,2016
285561.txt,4030,131,308,202,135,64,42,133,554,30.7634,29.8519,19.9505,1.5420,2.2815,1.4963,0.3168,0.4741,1.0305,0.3111,0.9852,0.6584,4.1037,2.7426,Capitol Federal Financial Inc ,1490906,2016
285562.txt,7057,233,489,381,242,116,94,167,1065,30.2876,29.1612,18.5223,1.6352,2.0207,1.5744,0.3045,0.4793,1.0386,0.3884,0.6901,0.4383,4.4008,2.7953,Cardinal Ethanol LLC ,1352081,2016
285564.txt,2882,96,239,173,106,69,49,113,406,30.0208,27.1887,16.6590,1.8021,2.2547,1.6321,0.3988,0.6509,1.1042,0.4623,1.0660,0.6532,3.8302,2.3468,Cavitation Technologies  Inc. ,1376793,2016
284209.txt,1954,82,157,103,77,22,19,91,240,23.8293,25.3766,18.9709,1.2561,2.0390,1.3377,0.2136,0.2857,0.9390,0.2468,1.1818,0.8835,3.1169,2.3301,RAADR  INC. ,1384365,2016
284207.txt,1526,51,74,69,51,17,13,62,213,29.9216,29.9216,22.1159,1.3529,1.4510,1.3529,0.2464,0.3333,1.0000,0.2549,1.2157,0.8986,4.1765,3.0870,Quest Solution  Inc. ,278165,2016
281179.txt,225,7,15,11,7,4,3,7,33,32.1429,32.1429,20.4545,1.5714,2.1429,1.5714,0.3636,0.5714,1.0000,0.4286,1.0000,0.6364,4.7143,3.0000,OWENS-ILLINOIS GROUP INC ,812233,2016
284205.txt,162,6,20,16,7,6,4,9,28,27.0000,23.1429,10.1250,2.6667,2.8571,2.2857,0.3750,0.8571,1.1667,0.5714,1.2857,0.5625,4.0000,1.7500,Qorvo  Inc. ,1604778,2016
281177.txt,183,9,12,10,9,0,0,15,22,20.3333,20.3333,18.3000,1.1111,1.3333,1.1111,0.0000,0.0000,1.0000,0.0000,1.6667,1.5000,2.4444,2.2000,OWENS & MINOR INC VA  ,75252,2016
281178.txt,225,7,15,11,7,4,3,7,33,32.1429,32.1429,20.4545,1.5714,2.1429,1.5714,0.3636,0.5714,1.0000,0.4286,1.0000,0.6364,4.7143,3.0000,OWENS ILLINOIS INC  DE  ,812074,2016
281175.txt,8788,261,498,386,259,127,101,267,1221,33.6705,33.9305,22.7668,1.4789,1.9228,1.4903,0.3290,0.4903,0.9923,0.3900,1.0309,0.6917,4.7143,3.1632,OVERSEAS SHIPHOLDING GROUP INC ,75208,2016
284201.txt,4791,155,431,321,167,149,84,143,624,30.9097,28.6886,14.9252,2.0710,2.5808,1.9222,0.4642,0.8922,1.0774,0.5030,0.8563,0.4455,3.7365,1.9439,QUEST PATENT RESEARCH CORP ,824416,2016
281176.txt,880,36,70,51,37,15,12,47,117,24.4444,23.7838,17.2549,1.4167,1.8919,1.3784,0.2941,0.4054,1.0278,0.3243,1.2703,0.9216,3.1622,2.2941,OVERSTOCK.COM  INC ,1130713,2016
284200.txt,9737,303,664,470,321,151,119,340,1401,32.1353,30.3333,20.7170,1.5512,2.0685,1.4642,0.3213,0.4704,1.0594,0.3707,1.0592,0.7234,4.3645,2.9809,QUANTUM CORP  DE  ,709283,2016
281173.txt,3229,92,244,142,101,54,42,94,462,35.0978,31.9703,22.7394,1.5435,2.4158,1.4059,0.3803,0.5347,1.0978,0.4158,0.9307,0.6620,4.5743,3.2535,OUTERWALL INC ,941604,2016
